"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","description","treatment"
"LOC115104149",268.415054763435,0.0424374001448512,0.0863334285478287,0.565242270767182,0.779069908063517,"ubiquilin-4-like","gonad"
"LOCNA.2108",213.669713734623,0.0424358387954951,0.0950800396697638,0.588454971427128,0.794754811011355,NA,"gonad"
"LOC115135942",484.316337447525,0.0424262432922591,0.105689462102767,0.609330959110264,0.808895187992659,"drebrin-like","gonad"
"LOC115135563",11.8046423810214,0.0424172842559028,0.137450550569502,0.636682540315564,0.826121010133297,"palmitoyltransferase ZDHHC20-like, transcript variant X2","gonad"
"LOC115130372",90.9907297641958,0.0424103452466255,0.182267305571997,0.617998501451382,0.813811921898735,"E3 ubiquitin-protein ligase TRIM16-like","gonad"
"LOC115131604",1895.16450168377,0.0423991920057503,0.12696852767171,0.632621797346643,0.823447702808736,"class I histocompatibility antigen, F10 alpha chain-like, transcript variant X1","gonad"
"LOC115112397",18.0136950561778,0.0423653877309947,0.14720120121677,0.637619731915257,0.82656037221661,"chromodomain Y-like protein 2, transcript variant X2","gonad"
"LOC115103989",69.1591082801276,0.0423057926379573,0.195708721587476,0.602684463930887,0.804216372412357,"syntaxin-binding protein 2-like, transcript variant X4","gonad"
"LOC115108096",45.8845409073699,0.0422718107003077,0.166582377743942,0.631475702276812,0.823083204850882,"C-X-C chemokine receptor type 4-like","gonad"
"LOC115135471",15.776496179729,0.042262777113619,0.135726459665679,0.637482073178876,0.82656037221661,"dachshund homolog 2-like, transcript variant X2","gonad"
"LOC115140176",42.6756009707089,0.0422425563321073,0.129126536930649,0.635069713975144,0.825272461335485,"single-stranded DNA-binding protein 2","gonad"
"LOC115141745",359.608446449624,0.0422368631765153,0.085533021032105,0.564648781632546,0.778822102826034,"DCN1-like protein 5, transcript variant X1","gonad"
"LOCNA.559",191.68110766782,0.0422292195150743,0.109655789766302,0.616987707989791,0.81330705638806,NA,"gonad"
"LOC115144102",20.4462895370062,0.0422099415076275,0.118030345235857,0.627099893977551,0.820331541848676,"carbonic anhydrase-related protein 10, transcript variant X1","gonad"
"LOCNA.440",272.155699085658,0.0421875892091622,0.0964765761193732,0.593787266901089,0.798420813717662,NA,"gonad"
"LOC115107746",185.073167574213,0.0421720633029177,0.103154720497167,0.607172382965488,0.807246810240943,"exocyst complex component 8-like","gonad"
"LOCNA.1209",129.591555374115,0.0421693952848663,0.120019882419993,0.629295379476964,0.821772966234229,NA,"gonad"
"LOCNA.1126",34.0307791719056,0.042133189700516,0.109212059265042,0.617160019362812,0.81330705638806,NA,"gonad"
"LOC115139961",82.566427854819,0.0421124883401022,0.102579884975259,0.60665187452682,0.806894720719678,"E1A-binding protein p400-like, transcript variant X2","gonad"
"LOC115141947",132.518165210529,0.0421103092939268,0.123911161153299,0.632910427844533,0.823710148548783,"heat shock 70 kDa protein 13-like","gonad"
"LOC115113770",188.160213691079,0.0421060536141599,0.0972115335076905,0.596101080028912,0.79941202834567,"bromodomain-containing protein 7-like","gonad"
"LOC115139173",45.5080490511011,0.0420898908971615,0.12661699813174,0.634876355881674,0.825121063544372,"BTB/POZ domain-containing protein 9-like","gonad"
"LOC115134256",40.2471722291913,0.042087511273463,0.135460464947926,0.638790599301332,0.827268996496185,"lysM and putative peptidoglycan-binding domain-containing protein 4-like, transcript variant X2","gonad"
"LOC115138682",33.1551028811723,0.0420344618383305,0.136426534514126,0.639461154739327,0.827797700484662,"REST corepressor 1-like, transcript variant X1","gonad"
"LOC115131802",118.704884204325,0.0420282794821732,0.0825447010339658,0.557002291508995,0.773966272086506,"basic salivary proline-rich protein 4-like","gonad"
"LOC115139673",33.3035137157745,0.0420175350730041,0.148848283489851,0.640139811781433,0.828330050280982,"ammonium transporter Rh type A-like","gonad"
"LOC115131859",22.1691396884709,0.0419953736871439,0.158586672482576,0.637632287138527,0.82656037221661,"uncharacterized LOC115131859","gonad"
"LOCNA.6",141.573239262783,0.0419863698413714,0.0902506503455547,0.580447820398008,0.789567491324446,NA,"gonad"
"LOC115123341",20.2101015103462,0.0419503745934035,0.14669282024067,0.640908380567459,0.828821211995959,"ATP-citrate synthase, transcript variant X1","gonad"
"LOC115118560",68.1711844662594,0.0418898804354703,0.0932031412677906,0.588826788619987,0.794754811011355,"ubiquitin-conjugating enzyme E2 Q2-like, transcript variant X3","gonad"
"LOC115104253",45.86470145334,0.0418604400410476,0.118968196166375,0.630839302667307,0.822890593823857,"cdc42-interacting protein 4 homolog, transcript variant X1","gonad"
"LOCNA.2543",278.786802291701,0.0418564556870552,0.117467961198721,0.629418311968887,0.82182014460977,NA,"gonad"
"LOC115130798",14.2729035314721,0.041850966963803,0.150775925458451,0.641113075808493,0.828947337301852,"leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 2","gonad"
"LOC115131546",214.34115872398,0.0418438923088296,0.105486001487719,0.61391321104551,0.811649675404742,"chromatin target of PRMT1 protein-like","gonad"
"LOC115131494",51.7402664507932,0.0418373247311586,0.106071889853179,0.614910255265481,0.812262674215936,"biogenesis of lysosome-related organelles complex 1 subunit 4-like","gonad"
"LOC115132741",73.7488356212571,0.0418136832230956,0.108184934431735,0.61834289180489,0.813994179100052,"E3 ubiquitin-protein ligase RING2-A-like, transcript variant X3","gonad"
