"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","description","treatment"
"LOC115114264",511.126013078322,0.191529521591033,0.114132618457615,0.00941257171015752,0.149699661621266,"stress-associated endoplasmic reticulum protein 1-like","liver"
"LOC115111133",92.8031376893536,0.19092605566768,0.174787945891309,0.017373814028854,0.190896114372334,"proteasome subunit alpha type-1-like","liver"
"abcc2",2248.66802473973,0.190873825979379,0.0902772703172528,0.00420640231450443,0.107371334663571,"ATP binding cassette subfamily C member 2","liver"
"LOC115114316",366.70886805808,0.190712959723452,0.0960811985422572,0.00549975801507695,0.120355169585754,"ras-related protein Rab-2A-like","liver"
"LOC115114507",83.1715544327755,0.189832112177615,0.106180816115842,0.00799935440960796,0.138967246143528,"proteasome subunit alpha type-7-like","liver"
"aldh7a1",611.437071727558,0.189393337113296,0.212306440935634,0.0187191937289275,0.197918666280009,"aldehyde dehydrogenase 7 family member A1","liver"
"abhd18",113.962383445311,0.189191904044065,0.112729711569104,0.00965218863925972,0.151102145671705,"abhydrolase domain containing 18","liver"
"LOC115132002",1697.48765900131,0.189003992286568,0.217118055620329,0.018425064573276,0.196279084114559,"60S ribosomal protein L22-like","liver"
"rmdn1",44.6407937622996,0.188596200226826,0.132377832176745,0.0137420954048627,0.17673774636869,"regulator of microtubule dynamics 1","liver"
"dpp7",153.091402870022,0.188240430777549,0.169034239132703,0.0177253545778358,0.192087047881883,"dipeptidyl peptidase 7","liver"
"LOC115110743",105.113203818963,0.187624146836085,0.0924864898152441,0.00519787929869916,0.116147836617255,"ER membrane protein complex subunit 10-like, transcript variant X1","liver"
"arpc3",103.33441563197,0.187576917151362,0.164294197432124,0.0175291913344944,0.190896114372334,"actin related protein 2/3 complex subunit 3","liver"
"LOC115102029",703.97272614252,0.187504292026583,0.128566492906129,0.013409487505461,0.175254551981094,"60S ribosomal protein L32-like","liver"
"atp5pf",106.54123117697,0.186965529767652,0.143498885530603,0.0157033440516937,0.181516621837922,"ATP synthase peripheral stalk subunit F6, transcript variant X2","liver"
"cdipt",100.864483033387,0.184974964808599,0.138139448397961,0.0155347198687788,0.181516621837922,"CDP-diacylglycerol--inositol 3-phosphatidyltransferase","liver"
"acadm",297.909756512928,0.184708861624565,0.0887516414991775,0.00480944781219234,0.112590705889937,"acyl-CoA dehydrogenase medium chain","liver"
"hmces",70.5926980762126,0.184697326077301,0.17914930967752,0.0189967942268164,0.198990538412997,"5-hydroxymethylcytosine binding, ES cell specific, transcript variant X1","liver"
"LOC115143940",400.663201636143,0.18423812627692,0.182841399735933,0.0192879751674703,0.199629818720235,"26S proteasome regulatory subunit 8-like","liver"
"LOC115112424",1000.21596779796,0.183970612481554,0.181281584892317,0.0193177247915072,0.199629818720235,"60S acidic ribosomal protein P2-like","liver"
"LOC115141465",237.140340345753,0.183940231868779,0.183631935402942,0.0193592485140844,0.199629818720235,"NADPH--cytochrome P450 reductase, transcript variant X2","liver"
"LOC115142016",281.706300195779,0.183813447797927,0.120847936218075,0.0128348443713919,0.172536979335426,"cytochrome c oxidase subunit 6B1-like","liver"
"adipor1",88.3733549462088,0.183313043681932,0.0948752570203118,0.00653336976157548,0.129885231245969,"adiponectin receptor 1, transcript variant X2","liver"
"LOC115129572",76.8395471269883,0.182934240347888,0.141996258825965,0.0168747828809673,0.18722504661706,"protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha-like","liver"
"LOC115115624",2648.0414457226,0.182769555666043,0.103452356789274,0.00891926237383094,0.145965667717825,"glutathione peroxidase 3-like","liver"
"LOC115103834",502.018989742158,0.182058660395878,0.34007655316899,0.0153692689699595,0.181516621837922,"integral membrane protein GPR155-like, transcript variant X2","liver"
"LOC115109117",362.229105607969,0.182041533403537,0.200816702618856,0.0197918844158247,0.201245991223243,"growth arrest and DNA damage-inducible protein GADD45 beta-like","liver"
"LOC115109228",174.701163388029,0.181146413778382,0.137993276498037,0.0166403138192894,0.186217171420974,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11-like","liver"
"LOC115117293",158.669221810922,0.181031798566374,0.129508534768043,0.0154277851424186,0.181516621837922,"ATP synthase membrane subunit DAPIT, mitochondrial-like","liver"
"LOC115141890",428.429403652077,0.179923504477478,0.150206536954897,0.0186363055266064,0.19746665986833,"glucose-6-phosphate exchanger SLC37A4-like","liver"
"LOC115123974",51.400738337571,0.178694762679757,0.197362676248298,0.0206574730210382,0.203902259924443,"cell growth regulator with RING finger domain protein 1-like, transcript variant X3","liver"
"ndufb10",383.752792844991,0.17854550339384,0.120978109677851,0.0144013467381768,0.177532759134817,"NADH:ubiquinone oxidoreductase subunit B10","liver"
"LOC115134231",331.31616901982,0.177716048260485,0.204803284410337,0.020698831873018,0.203953935000104,"pro-cathepsin H-like, transcript variant X1","liver"
"LOC115125554",1565.01379509135,0.177455899086227,0.232178902072604,0.0199675612838434,0.202125451307864,"60S ribosomal protein L30","liver"
"LOC115136185",163.19622003013,0.177365870791737,0.0877990918622335,0.00589034710471189,0.125860758614431,"S-phase kinase-associated protein 1","liver"
"cog4",39.1607607275532,0.177347539188899,0.162281532484188,0.0202517626392011,0.202673878336456,"component of oligomeric golgi complex 4","liver"
"LOC115141382",78.5246150503356,0.176981686562528,0.145679755969159,0.0188831570365981,0.198536880127808,"ER membrane protein complex subunit 2-like","liver"
"LOC115122809",44.3027739378327,0.176541208661898,0.210869824063826,0.0208165086951659,0.204080854940943,"coatomer subunit zeta-1-like, transcript variant X3","liver"
"LOC115144019",734.941297950166,0.176378440728148,0.20069160993461,0.022018037080949,0.209084663997893,"arginase-1-like","liver"
"LOC115145370",124.640454772879,0.175837259365882,0.455059064592204,0.0124336466095436,0.170027890409875,"cytochrome P450 2J2-like","liver"
"LOC115110121",105.896804508234,0.175834930945463,0.133858299508715,0.0177184469120438,0.192087047881883,"SUMO-conjugating enzyme UBC9-like, transcript variant X1","liver"
"LOC115130595",52.1351427270139,0.17559016564861,0.209340423614226,0.020978258114888,0.204565190529633,"39S ribosomal protein L18, mitochondrial-like","liver"
"LOC115101029",228.797914176912,0.175391684008841,0.143714693677155,0.0194114010764097,0.199629818720235,"ras-related protein rab7-like, transcript variant X1","liver"
