"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","description","treatment"
"LOC115134514",107.365890738346,0.431401853764681,0.122502583179883,3.52157352576975,0.000428993683539396,0.0455752763343179,"40S ribosomal protein S13","liver"
"LOC115103161",349.845892906869,0.430842735409452,0.158008798581901,2.7267009133427,0.00639709942904383,0.117067626262801,"T-complex protein 1 subunit gamma-like, transcript variant X1","liver"
"LOC115123566",143.833569123039,0.43022344167344,0.301913994798892,1.42498674816322,0.154161031781937,0.444006832320724,"ferritin, middle subunit-like","liver"
"LOC115135586",64.8317819903526,0.429288753258327,0.157342063785811,2.72837881319973,0.0063646471473388,0.117067626262801,"proteasome subunit beta type-6-like, transcript variant X3","liver"
"chchd10",222.331458509674,0.428586032013771,0.221032667837899,1.93901669018486,0.0524993058904768,0.284120957496913,"coiled-coil-helix-coiled-coil-helix domain containing 10","liver"
"LOC115131938",336.276789032743,0.428572825006123,0.176592900236872,2.4268972559557,0.0152285678885786,0.1640570739487,"ATP synthase subunit epsilon, mitochondrial-like","liver"
"LOC115138520",70.5594755691192,0.42845652658402,0.542692962275023,0.789500797629451,0.429819363767514,0.69773572252138,"C-type lectin domain family 4 member K-like","liver"
"LOC115103257",1340.01541601553,0.426693568960981,0.177171144704942,2.40836943099052,0.0160239569541835,0.166192489937028,"40S ribosomal protein S28","liver"
"LOC115110529",1423.85699368188,0.426008464481229,0.171074681130497,2.49019002500005,0.0127674812164238,0.155344040113861,"60S ribosomal protein L23","liver"
"LOC115131603",1075.79265338979,0.42555232041066,0.161148379308232,2.64074837263301,0.00827231331778919,0.128715122624365,"40S ribosomal protein S18","liver"
"LOC115125925",76.5594708916325,0.425045245224367,0.127366221836946,3.33718971242241,0.000846301598268271,0.0514854524558429,"peptidyl-prolyl cis-trans isomerase A-like","liver"
"LOC115132418",125.043507466417,0.424272288639082,0.126126997050239,3.36384991763568,0.000768633294854202,0.0497293541242179,"serine/threonine-protein kinase PINK1, mitochondrial-like","liver"
"LOC115116869",559.328758645918,0.422270849437234,0.11413035733998,3.69989947704573,0.000215684883173706,0.0366304826590012,"cytochrome c oxidase subunit NDUFA4-like","liver"
"LOC115119076",88.5615472324174,0.4199061640089,0.17680085112203,2.37502343084919,0.0175478362308256,0.171935049223186,"mid1-interacting protein 1-B-like","liver"
"LOC115114935",804.906624559947,0.419568449117069,0.205551828555074,2.0411808158868,0.0412328578288592,0.252624703929204,"40S ribosomal protein S12","liver"
"LOC115101480",137.094698707325,0.418767088901738,0.135077357595227,3.10020196098755,0.00193388729942221,0.0697568551543798,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2-like","liver"
"as3mt",116.059689267372,0.418271116378648,0.202324390031947,2.06732918513978,0.0387031459876622,0.245268670563312,"arsenite methyltransferase, transcript variant X2","liver"
"LOC115145407",133.569484008629,0.417714411078414,0.667618865772143,0.625677961624558,0.531526191302247,0.769709401192402,"vitellogenin-like","liver"
